,Country,GDP,Armed Forces size,Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Physicians per thousand,Population: Labor force participation (%),Urban_population,Latitude
78,Indonesia,1119190780753.0,676000.0,36.3,21.1,71.5,270203917.0,0.43,67.5,151509724.0,-0.789275
79,Iran,445345282123.0,563000.0,68.1,12.4,76.5,82913906.0,1.58,44.7,62509623.0,32.427908
80,Iraq,234094042939.0,209000.0,16.2,22.5,70.5,39309783.0,0.71,43.0,27783368.0,33.223191
81,Republic of Ireland,388698711348.0,9000.0,77.8,3.1,82.3,5007069.0,3.31,62.1,3133123.0,53.41291
82,Israel,395098666122.0,178000.0,63.4,3.0,82.8,9053300.0,4.62,64.0,8374393.0,31.046051
83,Italy,2001244392042.0,347000.0,61.9,2.6,82.9,60297396.0,3.98,49.6,42651966.0,41.87194
84,Jamaica,16458071068.0,4000.0,27.1,12.4,74.4,2948279.0,1.31,66.0,1650594.0,18.109581
85,Japan,5081769542380.0,261000.0,63.2,1.8,84.2,126226568.0,2.41,61.7,115782416.0,36.204824
86,Jordan,43743661972.0,116000.0,34.4,13.9,74.4,10101694.0,2.32,39.3,9213048.0,30.585164
87,Kazakhstan,180161741180.0,71000.0,61.7,8.8,73.2,18513930.0,3.25,68.8,10652915.0,48.019573
88,Kenya,95503088538.0,29000.0,11.5,30.6,66.3,52573973.0,0.16,74.7,14461523.0,-0.023559
90,Kuwait,134761198946.0,25000.0,54.4,6.7,75.4,4207083.0,2.58,73.5,4207083.0,29.31166
91,Kyrgyzstan,8454619608.0,21000.0,41.3,16.9,71.4,6456900.0,1.88,59.8,2362644.0,41.20438
92,Laos,18173839128.0,129000.0,15.0,37.6,67.6,7169455.0,0.37,78.5,2555552.0,19.85627
93,Latvia,34117202555.0,6000.0,88.1,3.3,74.7,1912789.0,3.19,61.4,1304943.0,56.879635
94,Lebanon,53367042272.0,80000.0,26.3,6.4,78.9,6855713.0,2.1,47.0,6084994.0,33.854721
95,Lesotho,2460072444.0,2000.0,10.2,65.7,53.7,2125268.0,0.07,67.9,607508.0,-29.609988
96,Liberia,3070518100.0,2000.0,11.9,53.5,63.7,4937374.0,0.04,76.3,2548426.0,6.428055
97,Libya,52076250948.0,0.0,60.5,10.2,72.7,6777452.0,2.09,49.7,5448597.0,26.3351
